    0.0292,0.0061
    0.0305,0.0055
    0.0556,0.0090
    0.0614,0.0100
    0.0557,0.0084
    0.0182,0.0044
    0.0416,0.0051
    0.0649,0.0096
    0.0421,0.0067
    0.0213,0.0040
    0.0510,0.0047
    0.0448,0.0067
    0.0410,0.0023
    0.0555,0.0070
    0.0065,0.0043
    0.0438,0.0071
    0.0206,0.0022
    0.0419,0.0058
    0.0385,0.0055
    0.0268,0.0053
    0.0543,0.0069
    0.0507,0.0088
    0.0441,0.0081
    0.0473,0.0056
    0.0463,0.0075
    0.0578,0.0068
    0.0676,0.0149
    0.0338,0.0079
    0.0564,0.0055
    0.0549,0.0089
    0.0455,0.0055
    0.0610,0.0067
    0.0629,0.0099
    0.0393,0.0066
    0.0465,0.0079
    0.0124,0.0020
    0.0265,0.0040
    0.0592,0.0057
    0.0195,0.0044
    0.0424,0.0092
    0.0814,0.0113
    0.0515,0.0086
    0.0217,0.0059
    0.0190,0.0021
    0.0211,0.0054
    0.0292,0.0031
    0.0353,0.0042
    0.0334,0.0052
    0.0487,0.0066
    0.0240,0.0008
