    0.0205,0.0058
    0.0284,0.0050
    0.0227,0.0040
    0.0354,0.0032
    0.0344,0.0041
    0.0270,0.0058
    0.0201,0.0036
    0.0382,0.0061
    0.0266,0.0045
    0.0228,0.0042
    0.0345,0.0044
    0.0377,0.0039
    0.0152,0.0027
    0.0238,0.0044
    0.0251,0.0033
    0.0036,0.0022
    0.0216,0.0042
    0.0218,0.0036
    0.0192,0.0037
    0.0241,0.0024
    0.0320,0.0042
    0.0487,0.0093
   -0.0048,0.0051
    0.0222,0.0041
    0.0538,0.0049
    0.0360,0.0050
    0.0286,0.0054
    0.0267,0.0033
    0.0725,0.0057
    0.0193,0.0056
    0.0747,0.0142
    0.0281,0.0096
    0.0622,0.0103
    0.0227,0.0037
    0.0364,0.0059
    0.0563,0.0055
    0.0298,0.0065
    0.0391,0.0070
    0.0224,0.0033
    0.0538,0.0073
    0.0233,0.0023
    0.0243,0.0041
    0.0247,0.0048
    0.0323,0.0041
    0.0290,0.0040
    0.0102,0.0059
    0.0186,0.0046
    0.0406,0.0047
    0.0221,0.0047
    0.0289,0.0020
